PO,Depth,Moist,PO_Rate,Harvest,Crop
4.698,15,44,0.039971429,1,0
8.958,15,38.33,0.261,1,0
45.669,15,67,0.483585714,1,0
5.337,15,62,0.143028571,1,0
13.764,15,48,0.382028571,1,0
26.669,15,38,4.018714286,1,0
94.75446701,15,31,0.2189,0,1
72.50224415,15,26,0.9831,0,1
128.6167018,15,27,3.521,0,1
173.55,15,88.91,4.718,0,0
56.74,15,75.54,4.974571429,0,0
37.68,15,63.46,1.252714286,0,0
38.87,15,76.01,0.955285714,0,0
4.698,15,44,0.039971429,1,0
12.358,30,60.3,2.365857143,1,0
83.886,30,47.33,3.863285714,1,0
45.669,15,67,0.483585714,1,0
90.299,30,47.3,1.925571429,1,0
5.337,15,62,0.143028571,1,0
13.816,30,44,0.289157143,1,0
13.764,15,48,0.382028571,1,0
29.621,30,58,2.340857143,1,0
26.669,15,38,4.018714286,1,0
19.518,30,26.5,6.444857143,1,0
109.116,30,39,0.6145,1,0
27.879,45,44,0.834728571,1,0
293.164,45,50,7.036714286,1,0
264.18,45,43,3.887285714,1,0
11.175,45,54,1.053557143,1,0
10.67,15,76.79,0.13055,1,0
53.2,15,76.55,0.295457143,1,0
15.46,15,53.11,0.206185714,1,0
38.35,15,85.78,0.269257143,1,0
7.091,15,76.79,0.094242857,1,0
12.77,15,76.79,0.332428571,1,0
24.04,15,91.7,0.486357143,1,0
13.31,15,76.79,0.334042857,1,0
23.57,15,76.79,0.416242857,1,0
31.11,15,76.79,0.667571429,1,0
13.76,15,68.62,0.141784286,1,0
9.26,15,66.26,0.076571429,1,0
20.57,15,78.29,0.392,1,0
25.97,15,78.29,0.410257143,1,0
14.15,15,78.29,1.842857143,1,0
72.48,15,100,0.927628571,1,0
57.38,15,78.29,0.667571429,1,0
45.07,15,78.29,1.291428571,1,0
22.2,15,78.29,0.187128571,1,0
37.04,15,78.29,2.262833333,1,0
94.75446701,15,31,0.2189,0,1
73.17945655,30,33,1.929,0,1
57.67634894,45,63,2.1617,0,1
72.50224415,15,26,0.9831,0,1
46.96442583,30,30,1.6117,0,1
20.44896664,45,38,0.8145,0,1
128.6167018,15,27,3.521,0,1
59.08581307,30,35,0.581,0,1
7.887540854,45,40,0.3504,0,1
23.29206204,15,33,0.7992,0,1
23.38265178,30,39,0.223,0,1
25.56025872,45,39,0.8036,0,1
96,15,88.72,1.579857143,0,0
52.5,15,43,0.656,0,1
45,15,43,0.079,0,1
18.5,15,43,0.675,0,1
45,15,43,0.625,0,1
17.5,15,43,0.215,0,1
9,15,43,0.8591,0,1
18,15,43,0.4021,0,1
5.5,15,43,0.177,0,1
157.6918765,15,93.83,2.896,0,2
88.98748436,15,77.59,3.59,0,2
39.05422102,15,55.61,0.522,0,2
15.04743658,15,87.15,0.584,0,2
30.17024211,15,77.59,0.905,0,2
37.26788721,15,77.59,1.946,0,2
110.7522824,15,77.59,6.17,0,2
67.74778889,15,73.77,2.562,0,2
88.04630676,15,55.61,1.889,0,2
18.09474876,15,77.59,1.405,0,2
